origin_date,model,horizon,mae,rmse,mape,smape
2026-05-12,lstm_finetuned,H+3,2303063.625,2326168.778854412,75.35990204896349,121.1456970523906
2026-05-12,lstm_finetuned,H+7,2105493.302176339,2163799.9924340644,75.126470989148,125.34786926331327
2026-05-25,naive,H+1,540500.0,540500.0,20.610104861773117,22.977999787437557
2026-05-25,naive,H+3,985333.3333333334,1148968.4503936563,252.26648766089875,70.56219283389908
2026-05-25,naive,H+7,814785.7142857143,961629.736437055,121.31585777747813,45.738490583764204
2026-05-25,seasonal_naive,H+1,767000.0,767000.0,29.24690181124881,25.51563539587492
2026-05-25,seasonal_naive,H+3,1586333.3333333333,1715196.6845428154,347.4764057932762,86.68387509568932
2026-05-25,seasonal_naive,H+7,915357.1428571428,1175416.5674954804,157.0653268460566,45.55844978678205
2026-05-25,moving_average_7,H+1,179214.2857142859,179214.2857142859,6.833719188342647,6.607935316504044
2026-05-25,moving_average_7,H+3,1344714.285714286,1654617.7837204826,355.54961609529414,77.92373788825854
2026-05-25,moving_average_7,H+7,752806.1224489798,1123968.8221945064,159.32038766030655,39.94123421112696
2026-05-25,lstm_global,H+1,1830318.5,1830318.5,69.79288846520497,107.20288261145292
2026-05-25,lstm_global,H+3,1031384.1041666666,1184531.2642364579,99.68751921894507,91.63797286743302
2026-05-25,lstm_global,H+7,1658306.7840401786,1889021.5904563465,85.4301313414585,112.83042548598101
2026-05-25,lstm_finetuned,H+1,1830318.5,1830318.5,69.79288846520497,107.20288261145292
2026-05-25,lstm_finetuned,H+3,1031384.1041666666,1184531.2642364579,99.68751921894507,91.63797286743302
2026-05-25,lstm_finetuned,H+7,1658306.7840401786,1889021.5904563465,85.4301313414585,112.83042548598101
2026-06-08,naive,H+1,554000.0,554000.0,34.527890308507324,29.44459208078661
2026-06-08,naive,H+3,601500.0,602894.20022643,38.72856725510071,32.406203457402825
2026-06-08,naive,H+7,619785.7142857143,640120.3290899968,41.83923565682484,33.967468301918395
2026-06-08,seasonal_naive,H+1,1018000.0,1018000.0,63.44655655967591,48.16654837946534
2026-06-08,seasonal_naive,H+3,778666.6666666666,928618.6874420882,50.28896776243735,64.61876536340786
2026-06-08,seasonal_naive,H+7,1044500.0,1195249.3613109717,71.49998942893689,60.2145790260879
2026-06-08,moving_average_7,H+1,602142.8571428573,602142.8571428573,37.52838000267107,31.599070395082094
2026-06-08,moving_average_7,H+3,649642.8571428573,650933.9509530914,41.82274821178154,34.54988545887417
2026-06-08,moving_average_7,H+7,667928.5714285716,686839.3411943183,45.00279649049572,36.09994270344653
2026-06-08,lstm_global,H+1,922106.1875,922106.1875,57.470002337176695,80.64267632015381
2026-06-08,lstm_global,H+3,918424.3958333334,920003.9463205182,58.9705421641333,83.74237475894407
2026-06-08,lstm_global,H+7,932817.59765625,954389.9394171693,62.46609198140295,97.2379827557967
2026-06-08,lstm_finetuned,H+1,922106.1875,922106.1875,57.470002337176695,80.64267632015381
2026-06-08,lstm_finetuned,H+3,918424.3958333334,920003.9463205182,58.9705421641333,83.74237475894407
2026-06-08,lstm_finetuned,H+7,932817.59765625,954389.9394171693,62.46609198140295,97.2379827557967
